filepath,ground_truth,system_verdict,final_score,score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality)
zh_93_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.9708903223276139,1.0,0.999767005443573,0.8839340806007385
zh_74_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.9864252716302871,1.0,0.9871470928192139,0.9662657380104065
fr_8_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.8375453293323517,0.53857421875,0.9994743466377258,0.9970184564590454
es_26_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.750268574943766,1.0,0.9981483221054077,0.004036984406411648
ja_53_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.9958929747343064,1.0,0.9993265867233276,0.9846493601799011
fr_88_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.9945469379425049,1.0,0.9899364709854126,0.9942893981933594
ar_19_label_real.npz,Real,Real,0.0006697998265735805,0.0,0.00028714470681734383,0.002219767775386572
fr_47_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9643378585577012,1.0,0.9157540202140808,0.9921450018882751
zh_3_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9976254671812057,1.0,0.9993463158607483,0.9915477633476257
fr_78_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.7061469495296477,1.0,0.26806411147117615,0.9956852197647095
ru_96_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.9493474870920181,1.0,0.9995359182357788,0.7981324791908264
fr_66_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9966521173715591,1.0,0.9983402490615845,0.9892640709877014
en_97_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.8237284451723099,1.0,0.5673794746398926,0.9871066212654114
fr_6_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9978074997663497,1.0,0.9989439845085144,0.9929196238517761
es_21_to_en_Bark_label_fake.npz,Fake,Deepfake,0.9965723276138305,1.0,0.9997844099998474,0.9866342544555664
en_70_label_real.npz,Real,Real,0.24584718458354474,1.6093254089355469e-06,0.0011823130771517754,0.9814947843551636
ar_60_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.9973580688238144,0.99951171875,0.99872225522995,0.9921602606773376
en_83_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.787001433968544,0.4140625,0.9865613579750061,0.9898200631141663
zh_76_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9881100356578827,1.0,0.9774518609046936,0.988517165184021
ja_56_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.9951835006475449,1.0,0.9979068040847778,0.9840831160545349
ru_2_to_en_Bark_label_fake.npz,Fake,Deepfake,0.9946609050035476,1.0,0.9997358918190002,0.9790661931037903
en_50_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.9982292205095291,1.0,0.9997076392173767,0.9933846592903137
ru_38_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9965442806482315,1.0,0.999398946762085,0.9871388077735901
es_2_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.9911542117595673,1.0,0.9843330383300781,0.989683985710144
ar_19_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9912687480449677,1.0,0.992028534412384,0.9778293371200562
en_68_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9986272275447845,1.0,0.998017430305481,0.9976810216903687
zh_38_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9953298509120941,1.0,0.9995816349983215,0.981988787651062
zh_49_to_es_Bark_label_fake.npz,Fake,Deepfake,0.9989408850669861,1.0,0.9997314810752869,0.9961931705474854
en_97_label_real.npz,Real,Real,0.0006617280596401542,0.0,0.0001383898052154109,0.0024254885502159595
ru_84_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.996919584274292,1.0,0.9979614019393921,0.9909400939941406
en_69_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9978453785181045,1.0,0.9994643330574036,0.9922385811805725
en_36_to_es_Bark_label_fake.npz,Fake,Deepfake,0.9970922589302063,1.0,0.995871365070343,0.9949748516082764
fr_63_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9968637257814408,1.0,0.9946848750114441,0.9959591031074524
zh_40_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.9960757941007614,1.0,0.9972903728485107,0.9886385798454285
en_33_label_real.npz,Real,Real,0.0007217491482151672,0.0,3.8484133256133646e-05,0.002825421979650855
zh_44_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.9978283792734146,1.0,0.9983617663383484,0.993934690952301
es_113_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.9837772101163864,1.0,0.9692732095718384,0.9842717051506042
en_48_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.9987039059400559,1.0,0.9991438388824463,0.9961854815483093
es_107_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.9983061790466309,1.0,0.9998465776443481,0.9934701919555664
en_1_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9922757863998413,1.0,0.9867563247680664,0.990293025970459
ru_94_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.5424225389957428,0.005489349365234375,0.9997150301933289,0.5624610185623169
en_14_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.9959013730287551,1.0,0.9997939467430115,0.9839351773262024
ja_38_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.9979760527610779,1.0,0.9998612403869629,0.9921262264251709
ar_44_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9935358226299286,1.0,0.9899351000785828,0.9902471303939819
ar_32_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.9979673564434052,1.0,0.9989757537841797,0.9935082197189331
zh_75_to_es_Bark_label_fake.npz,Fake,Deepfake,0.8204100161790848,1.0,0.9970887303352356,0.28629809617996216
zh_57_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.9979177713394165,1.0,0.9991896748542786,0.9929676055908203
ja_49_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9949910163879394,1.0,0.9980266690254211,0.983121395111084
ja_22_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.9614209413528443,1.0,0.9092228412628174,0.9909272193908691
es_80_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.9991941273212432,1.0,0.9996833801269531,0.9972831010818481
es_9_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9930411577224731,1.0,0.9931442737579346,0.9831337928771973
en_52_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.996171623468399,1.0,0.9930021166801453,0.9958831071853638
zh_21_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.9984685480594635,1.0,0.9995321035385132,0.9946228265762329
ru_52_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.9966739296913147,0.99658203125,0.9997397065162659,0.9918973445892334
zh_42_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.7880974248051643,1.0,0.9991461038589478,0.15375593304634094
ja_19_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.996180135011673,1.0,0.9997029900550842,0.9851957559585571
en_53_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.9964633345603943,1.0,0.9980523586273193,0.9889695644378662
ar_68_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9952133089303971,1.0,0.9984032511711121,0.9834080338478088
en_16_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.9970422208309173,1.0,0.9993749260902405,0.9891690015792847
ja_36_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.9989156275987625,1.0,0.9996215105056763,0.996268093585968
fr_97_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9899676382541656,0.99951171875,0.9993064403533936,0.9616638422012329
ar_69_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9961751163005829,1.0,0.9996682405471802,0.9852312803268433
en_92_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.9949007481336594,1.0,0.9913859367370605,0.9933854937553406
es_61_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.998650872707367,1.0,0.999803364276886,0.9949181079864502
es_108_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9983432024717331,1.0,0.9994437098503113,0.9942628741264343
ru_62_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.9978448569774627,1.0,0.9996392726898193,0.9919565916061401
en_107_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9990883827209472,1.0,0.9998875856399536,0.9965333938598633
zh_41_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.7519614824093879,1.0,0.9998278617858887,0.008121350780129433
es_112_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.9970761299133301,1.0,0.9959119558334351,0.9948453903198242
es_113_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.9848008394241333,1.0,0.9728674292564392,0.9826154708862305
en_35_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.9978718906641006,1.0,0.9986672401428223,0.993619978427887
zh_39_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.9960249632596969,1.0,0.9989728927612305,0.9857432246208191
en_39_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.9976366490125657,1.0,0.9994818568229675,0.9913756251335144
en_51_to_es_Bark_label_fake.npz,Fake,Deepfake,0.9973470956087113,1.0,0.9997097849845886,0.9898527264595032
en_1_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.9976385295391083,1.0,0.998309850692749,0.9932583570480347
ja_15_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.9978166162967682,1.0,0.9997521042823792,0.9916630983352661
fr_11_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.9977891206741333,1.0,0.9986209869384766,0.9933629035949707
en_72_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9962317287921906,1.0,0.998507559299469,0.9873148202896118
en_120_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.9383709073066712,0.82958984375,0.9996964931488037,0.9925434589385986
en_112_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.9968012303113938,1.0,0.9979336261749268,0.9905111193656921
ru_50_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.9963335931301117,1.0,0.9989608526229858,0.9869970083236694
ru_133_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.996446093916893,1.0,0.9971711039543152,0.9903106093406677
es_67_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.9989084154367447,1.0,0.9998867511749268,0.995814859867096
zh_123_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9987578630447388,1.0,0.9997979998588562,0.9953546524047852
zh_104_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.9979099959135056,1.0,0.9998090863227844,0.9919454455375671
ar_1_label_real.npz,Real,Real,0.0007782077474985272,1.1920928955078125e-07,3.49726906279102e-05,0.0030567077919840813
en_80_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.9942452996969223,1.0,0.9990082383155823,0.9785680174827576
es_85_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.9507811099290848,0.8642578125,0.9991611242294312,0.9945057034492493
zh_52_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.9964912056922912,1.0,0.9996613264083862,0.9865067005157471
en_16_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.9968636155128479,1.0,0.9998112320899963,0.9877564907073975
en_89_to_es_Bark_label_fake.npz,Fake,Deepfake,0.993619418144226,1.0,0.9931042790412903,0.9855108261108398
ru_17_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.9983809679746628,1.0,0.9997687935829163,0.9938938021659851
fr_88_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.9962926864624023,1.0,0.994628369808197,0.9937653541564941
es_21_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9949581176042557,1.0,0.9995985627174377,0.9804747700691223
zh_48_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.9986393183469773,1.0,0.9999005794525146,0.9947163462638855
en_40_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.9971690446138382,1.0,0.9967865943908691,0.9938176274299622
ru_126_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9967160433530807,1.0,0.9987714886665344,0.9888297915458679
ru_10_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.993240013718605,1.0,0.9969413876533508,0.9778538346290588
en_109_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.9989828884601593,1.0,0.9988885521888733,0.9977098703384399
es_4_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9964814871549607,1.0,0.9983275532722473,0.9886018633842468
es_64_to_en_Xtts_label_fake.npz,Fake,Deepfake,0.9963149279356003,1.0,0.9994507431983948,0.9861385226249695
en_117_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.9611610621213913,1.0,0.9078249931335449,0.9921242594718933
zh_84_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9923367351293564,1.0,0.9879947304725647,0.988555371761322
en_88_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9927351921796799,0.99951171875,0.9915628433227539,0.9851238131523132
ja_30_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.9978261291980743,1.0,0.9996143579483032,0.9919215440750122
en_34_label_real.npz,Real,Real,0.0009122202754952013,0.0,0.00021217201719991863,0.0033094058744609356
zh_75_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.7676373679190874,1.0,0.9993029832839966,0.07166469842195511
fr_64_to_en_Bark_label_fake.npz,Fake,Deepfake,0.9987527847290039,1.0,0.9996732473373413,0.9955339431762695
ru_117_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9990402281284332,1.0,0.9993630051612854,0.9971801042556763
en_45_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.9986829608678818,1.0,0.999881386756897,0.9949216246604919
es_102_label_real.npz,Real,Real,0.0015183086186880243,0.0031108856201171875,4.106720007257536e-05,0.0016522870864719152
ru_30_label_real.npz,Real,Real,0.0009961025032680481,7.152557373046875e-07,5.827836866956204e-05,0.003890163265168667
en_122_label_real.npz,Real,Real,0.2892154831904918,0.001506805419921875,0.7167736887931824,0.00791450310498476
en_14_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.9984367251396179,1.0,0.9995564818382263,0.9944565296173096
en_69_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.9980933725833893,1.0,0.9972220659255981,0.9968181848526001
en_115_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.6625363307073713,0.74267578125,0.9982671737670898,0.01317175105214119
ja_9_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.7711065262556076,1.0,0.45047885179519653,0.963659942150116
ru_87_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.9976642280817032,1.0,0.9997881054878235,0.9909959435462952
ar_32_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.9968272745609283,0.99560546875,0.9997304081916809,0.9938927888870239
ja_56_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.9981941819190979,1.0,0.99981290102005,0.9930760860443115
en_10_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.9967679738998413,1.0,0.9998393058776855,0.9873290061950684
es_39_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.9972843706607819,0.99951171875,0.9996507167816162,0.9903799295425415
en_4_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.9979063600301743,1.0,0.9962208867073059,0.9976720213890076
ar_32_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9983549088239669,1.0,0.9993054866790771,0.9945308566093445
fr_91_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.9991252452135087,1.0,0.9996335506439209,0.997087299823761
ar_40_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.998142597079277,0.99853515625,0.9990401864051819,0.9961568713188171
en_79_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.9945605993270874,1.0,0.9960744380950928,0.9845232963562012
zh_76_to_ja_Tacotron_label_fake.npz,Fake,Deepfake,0.75038455654867,1.0,0.9974731802940369,0.005581137724220753
zh_57_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.9983378887176514,1.0,0.9989060163497925,0.9951019287109375
ja_11_label_real.npz,Real,Real,0.010343913720862474,0.0282135009765625,4.676082971855067e-05,0.001801936188712716
zh_26_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.9975852608680725,1.0,0.9978224039077759,0.9938251972198486
es_104_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.9985368043184281,1.0,0.998127281665802,0.997143566608429
es_110_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.9929582387208938,1.0,0.9938997030258179,0.9815934300422668
zh_38_to_es_Bark_label_fake.npz,Fake,Deepfake,0.9963504672050476,1.0,0.99969482421875,0.9858901500701904
en_101_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9967581331729889,1.0,0.9992510676383972,0.98823082447052
en_34_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.9954394996166229,1.0,0.9911367893218994,0.9959391355514526
fr_52_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.9286658018827438,0.99951171875,0.8249258399009705,0.9954654574394226
en_40_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.9980686485767365,1.0,0.999526858329773,0.9930316209793091
en_72_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.9974030882120133,1.0,0.9993489384651184,0.9906540513038635
en_66_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.9963355183601379,1.0,0.9956541061401367,0.992295503616333
zh_48_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.9987868040800094,1.0,0.9998347759246826,0.9954115748405457
zh_13_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.9905507087707519,1.0,0.9857516884803772,0.9850001335144043
en_102_to_ja_Vall_label_fake.npz,Fake,Deepfake,0.9304744333028794,0.80517578125,0.9992554783821106,0.9958428740501404
ja_9_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.997393223643303,1.0,0.9988014698028564,0.9914905428886414
ru_73_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.9970644414424896,1.0,0.9998825788497925,0.9884456396102905
zh_104_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.9975507169961929,1.0,0.9998565912246704,0.9904323220252991
en_82_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.9945467352867127,1.0,0.9986169338226318,0.9803998470306396
zh_97_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9880846858024597,1.0,0.9728747010231018,0.995739221572876
fr_24_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9988510251045227,1.0,0.9996373653411865,0.9959843158721924
es_93_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.998261758685112,1.0,0.9992645382881165,0.9942237734794617
zh_102_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.9971220523118973,1.0,0.9994532465934753,0.9893630146980286
zh_45_label_real.npz,Real,Real,0.00056557651842013,1.3709068298339844e-06,3.9657228626310825e-05,0.002196935238316655
zh_125_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9989928573369979,1.0,0.9999027252197266,0.9961270689964294
ar_30_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.9972475349903107,1.0,0.9995155334472656,0.9897652864456177
ar_56_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.9971117377281189,1.0,0.9993109703063965,0.9895493984222412
ru_46_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.9967730671167374,1.0,0.9988941550254822,0.988861620426178
en_69_label_real.npz,Real,Real,0.24918176247738302,0.023773193359375,0.0003422725712880492,0.9628969430923462
en_109_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.9989447236061096,1.0,0.9997109770774841,0.9962413311004639
zh_13_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.9965930759906769,1.0,0.9998964071273804,0.9865380525588989
en_73_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.9985129863023758,1.0,0.9994645714759827,0.9949086308479309
zh_1_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.9885829210281372,1.0,0.9751903414726257,0.9940271377563477
zh_82_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9971763789653778,1.0,0.9996942281723022,0.9891947507858276
fr_79_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9960216790437698,1.0,0.9996366500854492,0.9846680760383606
ru_63_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.9976748704910279,1.0,0.9999476671218872,0.9907832145690918
zh_8_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.9795369595289231,1.0,0.9560806751251221,0.9884187579154968
ru_34_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.994251748919487,1.0,0.9997090697288513,0.9774724841117859
es_69_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9988407790660858,1.0,0.9994394183158875,0.9962600469589233
ja_54_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.9964278727769852,1.0,0.999725878238678,0.9861500859260559
ru_31_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.998106124997139,1.0,0.9998433589935303,0.9926751255989075
fr_96_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9969905763864517,1.0,0.9994224309921265,0.9888864159584045
en_61_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9875288516283035,1.0,0.9719616174697876,0.994976818561554
es_26_to_fr_MicroTts_label_fake.npz,Fake,Deepfake,0.7495863861404359,1.0,0.9963971972465515,0.004110028967261314
en_28_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9973650008440018,1.0,0.995198667049408,0.9971421360969543
fr_91_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9991225868463516,1.0,0.9994121789932251,0.9974308609962463
en_126_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.9960645437240601,1.0,0.9989280104637146,0.9859733581542969
es_92_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.9965970933437347,1.0,0.993044912815094,0.9975165128707886
fr_113_to_en_Bark_label_fake.npz,Fake,Deepfake,0.9976728767156601,1.0,0.9998506307601929,0.9909304976463318
ja_56_to_en_Vall_label_fake.npz,Fake,Deepfake,0.6578046649694442,0.02947998046875,0.9989908337593079,0.9915613532066345
ru_73_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.9975742071866989,1.0,0.9995555281639099,0.9910079836845398
ru_125_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.9966324448585511,1.0,0.9983162879943848,0.9892237186431885
ru_117_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.9989386051893234,1.0,0.9990355968475342,0.997297465801239
es_122_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.7654093455523252,1.0,0.9956034421920776,0.06867187470197678
fr_71_label_real.npz,Real,Real,0.0008075901539996266,0.0,0.0002812518796417862,0.0027803576085716486
es_106_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.9899222284555436,1.0,0.9892981052398682,0.976811945438385
ru_133_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.996918699145317,1.0,0.9968030452728271,0.9927899241447449
en_116_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.9954715996980668,1.0,0.9994994401931763,0.9826872944831848
es_97_label_real.npz,Real,Real,0.0003619664290454239,4.5299530029296875e-06,2.5444169295951724e-05,0.0014008131111040711
en_16_label_real.npz,Real,Real,0.0005727140203816816,0.0,2.0311555999796838e-05,0.0022583575919270515
en_112_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.9968882262706756,1.0,0.9976479411125183,0.9913161993026733
es_37_to_en_Bark_label_fake.npz,Fake,Deepfake,0.9983326971530915,1.0,0.9996931552886963,0.9938217401504517
fr_7_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.9953679203987121,1.0,0.9998971223831177,0.9816362857818604
zh_83_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.998769411444664,1.0,0.9995402097702026,0.9958133101463318
es_80_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.9976799726486205,0.99951171875,0.9975093603134155,0.9953885078430176
zh_109_to_ja_MicroTts_label_fake.npz,Fake,Deepfake,0.9969926387071609,0.9990234375,0.999452531337738,0.9902136921882629
fr_104_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9954240918159485,1.0,0.9997970461845398,0.9820210933685303
ja_10_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.5834133438766003,1.0,0.021756118163466454,0.8988435864448547
ru_90_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.9897493720054626,1.0,0.9827983975410461,0.9865200519561768
en_7_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.9985617667436599,1.0,0.9990724325180054,0.9957311749458313
ar_61_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.9990215867757797,1.0,0.999715268611908,0.9965419173240662
en_60_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.9934424936771393,1.0,0.9852208495140076,0.997416615486145
zh_24_to_es_Tacotron_label_fake.npz,Fake,Deepfake,0.9978431731462478,1.0,0.9998562335968018,0.9916027188301086
ru_68_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.9972139477729798,1.0,0.9998314380645752,0.9891254901885986
